Order ID,Customer ID,Product ID,Order Date,Ship Date,Ship Mode,Price,Quantity,Discount,Sales,Profit Ratio,Profit,Year,Quarter,Month
CA-2011-100328,C0030,P0074,2013-01-28,2013-02-03,Standard Class,5.0,1,0.2,4,0.34,1,2013,1,1
CA-2011-134103,C0031,P0075,2013-01-30,2013-02-04,Standard Class,5.5,2,0.0,11,0.45,5,2013,1,1
CA-2011-134103,C0031,P0076,2013-01-30,2013-02-04,Standard Class,115.0,2,0.0,230,0.03,7,2013,1,1
CA-2011-115161,C0032,P0077,2013-01-31,2013-02-02,First Class,171.18,2,0.15,291,0.01,3,2013,1,1
CA-2011-140795,C0033,P0078,2013-02-01,2013-02-03,First Class,78.17,6,0.0,469,0.44,206,2013,1,2
CA-2011-139857,C0034,P0079,2013-02-02,2013-02-06,Standard Class,2.4,5,0.0,12,0.47,6,2013,1,2
CA-2011-123400,C0035,P0080,2013-02-02,2013-02-09,Standard Class,30.0,2,0.7,18,-0.67,-12,2013,1,2
CA-2011-123400,C0035,P0081,2013-02-02,2013-02-09,Standard Class,45.25,5,0.2,181,0.08,14,2013,1,2
CA-2011-111059,C0024,P0082,2013-02-03,2013-02-06,Second Class,52.5,2,0.2,84,0.33,27,2013,1,2
CA-2011-111059,C0024,P0083,2013-02-03,2013-02-06,Second Class,5.42,3,0.2,13,0.33,4,2013,1,2
CA-2011-107181,C0036,P0084,2013-02-04,2013-02-08,Standard Class,34.58,3,0.2,83,0.35,29,2013,1,2
CA-2011-107181,C0036,P0085,2013-02-04,2013-02-08,Standard Class,8.5,4,0.0,34,0.47058823529411764,16,2013,1,2
CA-2011-104808,C0037,P0040,2013-02-04,2013-02-08,Second Class,10.62,2,0.2,17,0.35,6,2013,1,2
CA-2011-131905,C0038,P0086,2013-02-06,2013-02-09,First Class,3.75,4,0.0,15,0.48,7,2013,1,2
CA-2011-131905,C0038,P0087,2013-02-06,2013-02-09,First Class,162.0,1,0.0,162,0.26,42,2013,1,2
CA-2011-131905,C0038,P0088,2013-02-06,2013-02-09,First Class,29.0,5,0.0,145,0.29,42,2013,1,2
CA-2011-108182,C0017,P0089,2013-02-06,2013-02-10,Second Class,22.5,2,0.8,9,-1.65,-15,2013,1,2
CA-2011-107755,C0039,P0090,2013-02-07,2013-02-12,Standard Class,16.43,7,0.0,115,0.43,50,2013,1,2
US-2011-169390,C0011,P0091,2013-02-07,2013-02-10,Second Class,16.25,4,0.0,65,0.15,10,2013,1,2
CA-2011-125759,C0040,P0092,2013-02-08,2013-02-09,First Class,7.5,2,0.0,15,0.38,6,2013,1,2
CA-2011-127614,C0041,P0078,2013-02-11,2013-02-15,Standard Class,78.0,3,0.0,234,0.44,103,2013,1,2
CA-2011-127614,C0041,P0093,2013-02-11,2013-02-15,Standard Class,209.33,6,0.0,1256,0.06,75,2013,1,2
CA-2011-127614,C0041,P0094,2013-02-11,2013-02-15,Standard Class,8.5,2,0.0,17,0.47,8,2013,1,2
CA-2011-168368,C0042,P0095,2013-02-11,2013-02-15,Second Class,61.0,1,0.0,61,0.25,15,2013,1,2
CA-2011-168368,C0042,P0096,2013-02-11,2013-02-15,Second Class,5.0,3,0.0,15,0.46,7,2013,1,2
CA-2011-168368,C0042,P0097,2013-02-11,2013-02-15,Second Class,5.0,2,0.0,10,0.46,4,2013,1,2
CA-2011-168368,C0042,P0098,2013-02-11,2013-02-15,Second Class,111.0,3,0.0,333,0.16,53,2013,1,2
CA-2011-168368,C0042,P0099,2013-02-11,2013-02-15,Second Class,17.33,3,0.0,52,0.47,24,2013,1,2
CA-2011-168368,C0042,P0100,2013-02-11,2013-02-15,Second Class,32.5,2,0.0,65,0.04,3,2013,1,2
US-2011-110674,C0043,P0101,2013-02-12,2013-02-18,Standard Class,81.25,2,0.2,130,-0.19,-24,2013,1,2
CA-2011-107706,C0044,P0102,2013-02-14,2013-02-19,Second Class,6.67,3,0.2,16,0.38,6,2013,1,2
CA-2011-121762,C0045,P0103,2013-02-14,2013-02-18,Standard Class,80.0,3,0.0,240,0.36,86,2013,1,2
CA-2011-121762,C0045,P0104,2013-02-14,2013-02-18,Standard Class,41.0,2,0.0,82,0.2804878048780488,23,2013,1,2
CA-2011-121762,C0045,P0105,2013-02-14,2013-02-18,Standard Class,119.5,2,0.0,239,0.02,5,2013,1,2
CA-2011-165568,C0046,P0106,2013-02-15,2013-02-19,Standard Class,5.25,5,0.2,21,0.34,7,2013,1,2
CA-2011-122567,C0047,P0107,2013-02-16,2013-02-21,Standard Class,1.67,3,0.8,1,-1.6,-2,2013,1,2
CA-2011-122567,C0047,P0108,2013-02-16,2013-02-21,Standard Class,20.0,2,0.8,8,-1.75,-14,2013,1,2
CA-2011-154165,C0017,P0109,2013-02-17,2013-02-24,Standard Class,4.82,14,0.2,54,0.16,9,2013,1,2
US-2011-165589,C0048,P0110,2013-02-18,2013-02-18,Same Day,12.5,5,0.6,25,-0.45,-11,2013,1,2
CA-2011-152905,C0049,P0111,2013-02-18,2013-02-24,Standard Class,8.12,2,0.2,13,-0.2,-3,2013,1,2
CA-2011-109491,C0050,P0112,2013-02-20,2013-02-26,Standard Class,20.67,3,0.0,62,0.36,22,2013,1,2
CA-2011-109491,C0050,P0113,2013-02-20,2013-02-26,Standard Class,5.0,4,0.0,20,0.34,7,2013,1,2
CA-2011-164903,C0051,P0114,2013-02-20,2013-02-24,Standard Class,6.5,2,0.0,13,0.48,6,2013,1,2
CA-2011-165540,C0052,P0004,2013-02-21,2013-02-25,Standard Class,9.0,5,0.8,9,-1.55,-14,2013,1,2
CA-2011-133354,C0053,P0115,2013-02-22,2013-02-24,First Class,6.33,3,0.0,19,0.48,9,2013,1,2
CA-2011-103744,C0054,P0116,2013-02-23,2013-02-27,Standard Class,2.92,3,0.2,7,0.34,2,2013,1,2
CA-2011-103744,C0054,P0117,2013-02-23,2013-02-27,Standard Class,6.67,3,0.8,4,-1.55,-7,2013,1,2
US-2011-137680,C0055,P0001,2013-02-24,2013-03-02,Standard Class,10.31,4,0.2,33,0.3333333333333333,11,2013,1,2
US-2011-137680,C0055,P0118,2013-02-24,2013-03-02,Standard Class,9.58,3,0.2,23,0.34,8,2013,1,2
CA-2011-156545,C0056,P0119,2013-02-27,2013-03-03,First Class,5.94,4,0.2,19,0.18,3,2013,1,2
CA-2011-104269,C0057,P0008,2013-03-01,2013-03-06,Second Class,286.25,2,0.2,458,0.11,51,2013,1,3
US-2011-143707,C0058,P0120,2013-03-01,2013-03-05,Standard Class,2.0,3,0.0,6,0.27,2,2013,1,3
CA-2011-113880,C0059,P0121,2013-03-01,2013-03-05,Standard Class,150.95,6,0.3,634,-0.27,-172,2013,1,3
CA-2011-113880,C0059,P0122,2013-03-01,2013-03-05,Standard Class,7.08,3,0.2,17,0.33,6,2013,1,3
CA-2011-131009,C0060,P0123,2013-03-01,2013-03-05,Standard Class,4.75,5,0.2,19,-0.19,-4,2013,1,3
CA-2011-131009,C0060,P0124,2013-03-01,2013-03-05,Standard Class,86.19,6,0.3,362,0.0,0,2013,1,3
CA-2011-131009,C0060,P0035,2013-03-01,2013-03-05,Standard Class,26.67,6,0.6,64,-0.55,-35,2013,1,3
CA-2011-131009,C0060,P0125,2013-03-01,2013-03-05,Standard Class,54.17,3,0.2,130,-0.18,-23,2013,1,3
CA-2011-168312,C0061,P0071,2013-03-01,2013-03-07,Standard Class,57.08,3,0.2,137,0.06,9,2013,1,3
CA-2011-168312,C0061,P0126,2013-03-01,2013-03-07,Standard Class,179.52,3,0.3,377,-0.11,-43,2013,1,3
CA-2011-107524,C0062,P0022,2013-03-02,2013-03-08,Standard Class,5.5,2,0.0,11,0.47,5,2013,1,3
CA-2011-107524,C0062,P0127,2013-03-02,2013-03-08,Standard Class,7.2,5,0.0,36,0.48,17,2013,1,3
CA-2011-111157,C0063,P0128,2013-03-02,2013-03-06,Standard Class,3.75,1,0.2,3,0.31,1,2013,1,3
CA-2011-111157,C0063,P0129,2013-03-02,2013-03-06,Standard Class,62.92,3,0.2,151,0.21,32,2013,1,3
CA-2011-155852,C0064,P0119,2013-03-03,2013-03-07,Second Class,5.94,4,0.2,19,0.18,3,2013,1,3
CA-2011-127964,C0065,P0130,2013-03-03,2013-03-08,Standard Class,10.0,1,0.0,10,0.46,5,2013,1,3
CA-2011-127964,C0065,P0082,2013-03-03,2013-03-08,Standard Class,52.5,3,0.2,126,0.33,41,2013,1,3
CA-2011-127964,C0065,P0131,2013-03-03,2013-03-08,Standard Class,6.25,5,0.2,25,0.36,9,2013,1,3
US-2011-127978,C0066,P0132,2013-03-03,2013-03-08,Standard Class,6.25,3,0.2,15,0.3333333333333333,5,2013,1,3
US-2011-127978,C0066,P0043,2013-03-03,2013-03-08,Standard Class,120.8,5,0.5,302,-0.66,-200,2013,1,3
US-2011-127978,C0066,P0133,2013-03-03,2013-03-08,Standard Class,7.03,8,0.2,45,-0.23,-10,2013,1,3
CA-2011-130421,C0067,P0134,2013-03-03,2013-03-07,Standard Class,295.0,3,0.8,177,-2.6,-460,2013,1,3
CA-2011-105648,C0068,P0135,2013-03-03,2013-03-07,Standard Class,260.83,3,0.2,626,-0.04,-23,2013,1,3
CA-2011-116239,C0069,P0136,2013-03-04,2013-03-04,Same Day,71.0,5,0.0,355,0.05,18,2013,1,3
CA-2011-117016,C0043,P0137,2013-03-04,2013-03-09,Standard Class,6.67,3,0.2,16,0.15,2,2013,1,3
CA-2011-169061,C0070,P0138,2013-03-05,2013-03-08,Second Class,20.0,3,0.0,60,0.26,15,2013,1,3
CA-2011-169061,C0070,P0139,2013-03-05,2013-03-08,Second Class,160.0,3,0.0,480,0.37,178,2013,1,3
CA-2011-169061,C0070,P0140,2013-03-05,2013-03-08,Second Class,9.5,2,0.0,19,0.29,5,2013,1,3
CA-2011-169061,C0070,P0141,2013-03-05,2013-03-08,Second Class,10.42,6,0.2,50,0.34,17,2013,1,3
CA-2011-169061,C0070,P0142,2013-03-05,2013-03-08,Second Class,49.0,2,0.0,98,0.47,46,2013,1,3
CA-2011-156587,C0049,P0143,2013-03-07,2013-03-08,First Class,61.25,1,0.2,49,0.11,5,2013,1,3
CA-2011-156587,C0049,P0144,2013-03-07,2013-03-08,First Class,6.0,3,0.0,18,0.26,5,2013,1,3
CA-2011-156587,C0049,P0145,2013-03-07,2013-03-08,First Class,81.0,3,0.0,243,0.02,5,2013,1,3
US-2011-131982,C0071,P0146,2013-03-07,2013-03-11,Second Class,67.5,2,0.2,108,0.31,34,2013,1,3
CA-2011-104563,C0072,P0147,2013-03-07,2013-03-12,Standard Class,4.2,5,0.0,21,0.46,9,2013,1,3
CA-2011-104563,C0072,P0148,2013-03-07,2013-03-12,Standard Class,41.0,5,0.0,205,0.0,0,2013,1,3
CA-2011-104563,C0072,P0149,2013-03-07,2013-03-12,Standard Class,91.04,6,0.2,437,0.05,22,2013,1,3
CA-2011-104563,C0072,P0150,2013-03-07,2013-03-12,Standard Class,301.25,2,0.2,482,0.11,54,2013,1,3
US-2011-100279,C0073,P0151,2013-03-10,2013-03-14,Standard Class,11.0,2,0.0,22,0.5,11,2013,1,3
US-2011-140116,C0074,P0028,2013-03-10,2013-03-17,Standard Class,265.0,3,0.2,636,-0.03,-16,2013,1,3
US-2011-140116,C0074,P0152,2013-03-10,2013-03-17,Standard Class,25.94,4,0.2,83,0.11,9,2013,1,3
CA-2011-166884,C0075,P0153,2013-03-11,2013-03-16,Second Class,2.0,5,0.2,8,0.28,2,2013,1,3
CA-2011-166884,C0075,P0154,2013-03-11,2013-03-16,Second Class,2.08,6,0.2,10,0.16,2,2013,1,3
CA-2011-158337,C0076,P0155,2013-03-11,2013-03-14,Second Class,7.79,14,0.0,109,0.45,49,2013,1,3
CA-2011-114790,C0077,P0156,2013-03-11,2013-03-13,Second Class,49.0,3,0.0,147,0.26,38,2013,1,3
CA-2011-114790,C0077,P0090,2013-03-11,2013-03-13,Second Class,16.5,2,0.0,33,0.43,14,2013,1,3
CA-2011-114790,C0077,P0157,2013-03-11,2013-03-13,Second Class,196.0,3,0.0,588,0.28,165,2013,1,3
CA-2011-114790,C0077,P0158,2013-03-11,2013-03-13,Second Class,5.0,3,0.0,15,0.47,7,2013,1,3
US-2011-103338,C0078,P0159,2013-03-11,2013-03-15,Standard Class,2.67,3,0.0,8,0.26,2,2013,1,3
CA-2011-157623,C0079,P0075,2013-03-14,2013-03-18,Standard Class,5.5,2,0.0,11,0.45,5,2013,1,3
CA-2011-157623,C0079,P0160,2013-03-14,2013-03-18,Standard Class,3.0,1,0.0,3,0.37,1,2013,1,3
US-2011-125521,C0080,P0161,2013-03-14,2013-03-19,Standard Class,285.0,4,0.0,1140,0.25,285,2013,1,3
CA-2011-114510,C0081,P0141,2013-03-14,2013-03-19,Standard Class,10.31,4,0.2,33,0.34,11,2013,1,3
CA-2011-114510,C0081,P0162,2013-03-14,2013-03-19,Standard Class,81.0,1,0.0,81,0.04,3,2013,1,3
CA-2011-114510,C0081,P0163,2013-03-14,2013-03-19,Standard Class,6.92,12,0.0,83,0.08,7,2013,1,3
CA-2011-114510,C0081,P0164,2013-03-14,2013-03-19,Standard Class,10.5,2,0.0,21,0.27,6,2013,1,3
CA-2011-114510,C0081,P0165,2013-03-14,2013-03-19,Standard Class,38.75,2,0.2,62,0.33,20,2013,1,3
CA-2011-152618,C0082,P0166,2013-03-14,2013-03-17,First Class,410.71,2,0.3,575,0.27,156,2013,1,3
CA-2011-152618,C0082,P0167,2013-03-14,2013-03-17,First Class,5.0,2,0.2,8,0.31,3,2013,1,3
CA-2011-100293,C0083,P0168,2013-03-14,2013-03-18,Standard Class,18.96,6,0.2,91,0.35,32,2013,1,3
CA-2011-149958,C0084,P0169,2013-03-15,2013-03-19,Standard Class,178.75,1,0.2,143,0.1258741258741259,18,2013,1,3
CA-2011-149958,C0084,P0170,2013-03-15,2013-03-19,Standard Class,19.17,3,0.2,46,0.11,5,2013,1,3
CA-2011-149958,C0084,P0171,2013-03-15,2013-03-19,Standard Class,7.78,3,0.7,7,-0.77,-6,2013,1,3
CA-2011-149958,C0084,P0172,2013-03-15,2013-03-19,Standard Class,35.83,4,0.7,43,-0.73,-32,2013,1,3
CA-2011-149958,C0084,P0173,2013-03-15,2013-03-19,Standard Class,55.0,3,0.2,132,0.36,48,2013,1,3
CA-2011-157609,C0062,P0174,2013-03-16,2013-03-21,Second Class,295.0,2,0.2,472,0.06,29,2013,1,3
CA-2011-118339,C0085,P0175,2013-03-17,2013-03-24,Standard Class,47.0,2,0.0,94,0.39,37,2013,1,3
CA-2011-118339,C0085,P0102,2013-03-17,2013-03-24,Standard Class,6.71,7,0.0,47,0.5,24,2013,1,3
CA-2011-118339,C0085,P0176,2013-03-17,2013-03-24,Standard Class,3.33,6,0.0,20,0.29,6,2013,1,3
CA-2011-118339,C0085,P0069,2013-03-17,2013-03-24,Standard Class,5.3,10,0.0,53,0.47,25,2013,1,3
CA-2011-118339,C0085,P0177,2013-03-17,2013-03-24,Standard Class,6.0,6,0.0,36,0.48,17,2013,1,3
US-2011-148838,C0086,P0178,2013-03-17,2013-03-21,Standard Class,376.19,7,0.4,1580,-0.28,-448,2013,1,3
US-2011-148838,C0086,P0179,2013-03-17,2013-03-21,Standard Class,446.67,4,0.4,1072,-0.52,-554,2013,1,3
US-2011-148838,C0086,P0180,2013-03-17,2013-03-21,Standard Class,341.11,3,0.4,614,-0.2,-123,2013,1,3
US-2011-148838,C0086,P0181,2013-03-17,2013-03-21,Standard Class,5.0,7,0.0,35,0.47,16,2013,1,3
US-2011-148838,C0086,P0182,2013-03-17,2013-03-21,Standard Class,38.75,4,0.0,155,0.49,76,2013,1,3
CA-2011-158442,C0087,P0183,2013-03-17,2013-03-17,Same Day,2.5,2,0.2,4,0.08,0,2013,1,3
CA-2011-158442,C0087,P0184,2013-03-17,2013-03-17,Same Day,6.25,1,0.2,5,0.36,2,2013,1,3
CA-2011-158442,C0087,P0185,2013-03-17,2013-03-17,Same Day,6.67,3,0.2,16,0.35,5,2013,1,3
US-2011-164763,C0037,P0052,2013-03-17,2013-03-21,Standard Class,3.67,3,0.0,11,0.47,5,2013,1,3
US-2011-164763,C0037,P0186,2013-03-17,2013-03-21,Standard Class,15.0,2,0.0,30,0.49,15,2013,1,3
US-2011-164763,C0037,P0187,2013-03-17,2013-03-21,Standard Class,6.5,2,0.0,13,0.46153846153846156,6,2013,1,3
US-2011-164763,C0037,P0188,2013-03-17,2013-03-21,Standard Class,4.0,4,0.0,16,0.48,8,2013,1,3
US-2011-164763,C0037,P0189,2013-03-17,2013-03-21,Standard Class,11.0,3,0.0,33,0.26,8,2013,1,3
CA-2011-127859,C0088,P0190,2013-03-17,2013-03-20,Second Class,26.46,6,0.2,127,0.33,41,2013,1,3
CA-2011-145317,C0089,P0166,2013-03-18,2013-03-23,Standard Class,410.5,4,0.5,821,-0.02,-16,2013,1,3
CA-2011-145317,C0089,P0191,2013-03-18,2013-03-23,Standard Class,7546.0,6,0.5,22638,-0.08,-1811,2013,1,3
CA-2011-145317,C0089,P0060,2013-03-18,2013-03-23,Standard Class,6.56,4,0.2,21,0.35,7,2013,1,3
CA-2011-145317,C0089,P0192,2013-03-18,2013-03-23,Standard Class,3.33,3,0.2,8,0.13,1,2013,1,3
CA-2011-145317,C0089,P0193,2013-03-18,2013-03-23,Standard Class,19.38,2,0.2,31,0.26,8,2013,1,3
CA-2011-145317,C0089,P0079,2013-03-18,2013-03-23,Standard Class,7.92,3,0.2,19,0.31,6,2013,1,3
CA-2011-145317,C0089,P0194,2013-03-18,2013-03-23,Standard Class,50.83,3,0.2,122,0.13,15,2013,1,3
CA-2011-111871,C0090,P0195,2013-03-18,2013-03-21,Second Class,140.94,10,0.15,1198,0.06,70,2013,1,3
US-2011-131275,C0091,P0196,2013-03-18,2013-03-24,Standard Class,55.5,2,0.0,111,0.13,14,2013,1,3
US-2011-131275,C0091,P0197,2013-03-18,2013-03-24,Standard Class,400.0,4,0.2,1280,0.33,416,2013,1,3
US-2011-131275,C0091,P0028,2013-03-18,2013-03-24,Standard Class,265.14,7,0.0,1856,0.18,334,2013,1,3
CA-2011-103989,C0092,P0198,2013-03-19,2013-03-21,First Class,135.0,3,0.2,324,0.09,28,2013,1,3
CA-2011-103989,C0092,P0199,2013-03-19,2013-03-21,First Class,3.75,4,0.2,12,0.34,4,2013,1,3
